,Best_params
Fold_0,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'batch_size': 128}"
Fold_1,"{'nz': 256, 'd_dim': 256, 'lr': 0.0001, 'batch_size': 128}"
Fold_2,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'batch_size': 128}"
Fold_3,"{'nz': 100, 'd_dim': 256, 'lr': 0.0001, 'batch_size': 128}"
Fold_4,"{'nz': 128, 'd_dim': 256, 'lr': 0.0001, 'batch_size': 256}"
Fold_5,"{'nz': 100, 'd_dim': 256, 'lr': 0.0001, 'batch_size': 256}"
Fold_6,"{'nz': 100, 'd_dim': 128, 'lr': 0.0001, 'batch_size': 128}"
Fold_7,"{'nz': 100, 'd_dim': 100, 'lr': 0.0001, 'batch_size': 128}"
Fold_8,"{'nz': 128, 'd_dim': 100, 'lr': 0.0001, 'batch_size': 128}"
Fold_9,"{'nz': 128, 'd_dim': 128, 'lr': 0.0001, 'batch_size': 256}"
